fold,framework,rmse,mae,r2
1,LightGBM,3.0807313747625042,2.559093203073667,-1.2455479220685461e-05
2,LightGBM,2.9855700672317798,2.611271351207922,-0.003949564935867178
3,LightGBM,3.4859592980175487,3.044588365672548,-0.030235590686815916
4,LightGBM,2.7619724992278787,2.43248987197876,-0.006852447372767134
5,LightGBM,2.909335932007845,2.3461032119798073,-0.14114271136628131
