framework,seed,fold,fit_time_sec,predict_time_sec,rmse,mae,r2
boosting_suite_catboost_baseline,77,1,0.11159820899774786,0.00241741600621026,2.743447115012615,2.3289594650268564,-0.010815201026757038
boosting_suite_catboost_baseline,77,2,0.11027458299940918,0.002141292003216222,2.9649708493552,2.5806506964077878,-0.05180052409647917
boosting_suite_catboost_baseline,77,3,0.11278137500630692,0.0021832500060554594,3.0114348956920027,2.5407589717824757,-0.0024759535213669803
boosting_suite_catboost_baseline,77,4,0.10777562500152271,0.002116707997629419,3.389340615487456,2.8511190119675587,-0.14650204660280686
boosting_suite_catboost_baseline,77,5,0.113613790992531,0.0027662920037982985,3.1959468360768253,2.766682340517419,-0.02759089519826663
