fold,framework,rmse,mae,r2
1,XGBoost,3.0810812,2.5616505,-0.00023949784397458984
2,XGBoost,2.9840791,2.6098547,-0.002947091366902743
3,XGBoost,3.478293,3.0394201,-0.025709247752134567
4,XGBoost,2.7601864,2.43249,-0.005550709778701757
5,XGBoost,2.9220884,2.3540404,-0.15116870802722882
