framework,seed,fold,fit_time_sec,predict_time_sec,rmse,mae,r2
boosting_suite_lightgbm_baseline,42,1,0.02595929200469982,0.0014205000043148175,3.0807313747625042,2.559093203073667,-1.2455479220685461e-05
boosting_suite_lightgbm_baseline,42,2,0.018415166006889194,0.001339791007922031,2.9855700672317798,2.611271351207922,-0.003949564935867178
boosting_suite_lightgbm_baseline,42,3,0.019593834003899246,0.0022944999946048483,3.4859592980175487,3.044588365672548,-0.030235590686815916
boosting_suite_lightgbm_baseline,42,4,0.019259792010416277,0.0014371669967658818,2.7619724992278787,2.43248987197876,-0.006852447372767134
boosting_suite_lightgbm_baseline,42,5,0.017638916993746534,0.0013252920034574345,2.909335932007845,2.3461032119798073,-0.14114271136628131
