framework,seed,fold,fit_time_sec,predict_time_sec,rmse,mae,r2,ablation_suite,preprocessing_variant,feature_variant,feature_description,feature_variant_key,estimator_name,experiment_family
feature_ablation_lightgbm_baseline,42,1,0.035159417006070726,0.002560875000199303,3.0807313747625042,2.559093203073667,-1.2455479220685461e-05,True,baseline,Baseline,"Median/most-frequent imputation, scaling enabled, no extra transforms.",baseline,lightgbm,feature_ablation
feature_ablation_lightgbm_baseline,42,2,0.04139416600810364,0.0018752500036498532,2.9855700672317798,2.611271351207922,-0.003949564935867178,True,baseline,Baseline,"Median/most-frequent imputation, scaling enabled, no extra transforms.",baseline,lightgbm,feature_ablation
feature_ablation_lightgbm_baseline,42,3,0.029624707996845245,0.001688916003331542,3.4859592980175487,3.044588365672548,-0.030235590686815916,True,baseline,Baseline,"Median/most-frequent imputation, scaling enabled, no extra transforms.",baseline,lightgbm,feature_ablation
feature_ablation_lightgbm_baseline,42,4,0.029074624995701015,0.0017557910032337531,2.7619724992278787,2.43248987197876,-0.006852447372767134,True,baseline,Baseline,"Median/most-frequent imputation, scaling enabled, no extra transforms.",baseline,lightgbm,feature_ablation
feature_ablation_lightgbm_baseline,42,5,0.028015707997838035,0.0016349579964298755,2.909335932007845,2.3461032119798073,-0.14114271136628131,True,baseline,Baseline,"Median/most-frequent imputation, scaling enabled, no extra transforms.",baseline,lightgbm,feature_ablation
