framework,seed,fold,fit_time_sec,predict_time_sec,rmse,mae,r2,ablation_suite,preprocessing_variant,feature_variant,feature_description,feature_variant_key,estimator_name,experiment_family
feature_ablation_xgboost_poly2,42,1,0.05046562499774154,0.0074722499994095415,3.0807535648345947,2.559377908706665,-2.6974200464158216e-05,True,poly2,Polynomial (deg=2),Augment numeric features with 2nd-degree polynomial terms.,poly2,xgboost,feature_ablation
feature_ablation_xgboost_poly2,42,2,0.05160399999294896,0.006839292007498443,2.982705593109131,2.6083152294158936,-0.0020238663639167154,True,poly2,Polynomial (deg=2),Augment numeric features with 2nd-degree polynomial terms.,poly2,xgboost,feature_ablation
feature_ablation_xgboost_poly2,42,3,0.048667915994883515,0.006788708007661626,3.479389190673828,3.04018497467041,-0.02635581743737725,True,poly2,Polynomial (deg=2),Augment numeric features with 2nd-degree polynomial terms.,poly2,xgboost,feature_ablation
feature_ablation_xgboost_poly2,42,4,0.04657824999594595,0.00675004099321086,2.7582030296325684,2.4324896335601807,-0.004106067856881168,True,poly2,Polynomial (deg=2),Augment numeric features with 2nd-degree polynomial terms.,poly2,xgboost,feature_ablation
feature_ablation_xgboost_poly2,42,5,0.05127283401088789,0.006976207994739525,2.931199550628662,2.3595712184906006,-0.15835852727194055,True,poly2,Polynomial (deg=2),Augment numeric features with 2nd-degree polynomial terms.,poly2,xgboost,feature_ablation
