framework,seed,fold,fit_time_sec,predict_time_sec,rmse,mae,r2,ablation_suite,preprocessing_variant,feature_variant,feature_description,feature_variant_key,estimator_name,experiment_family
feature_ablation_catboost_no_scaling,42,1,0.11536799999885261,0.004749875006382354,3.0812198192324045,2.562567416766154,-0.0003295810028507429,True,no_scaling,No Scaling,Disable numeric scaling to test robustness to raw feature magnitudes.,no_scaling,catboost,feature_ablation
feature_ablation_catboost_no_scaling,42,2,0.11623391699686181,0.003337000001920387,2.9831378554508814,2.6088318987659207,-0.00231448467729245,True,no_scaling,No Scaling,Disable numeric scaling to test robustness to raw feature magnitudes.,no_scaling,catboost,feature_ablation
feature_ablation_catboost_no_scaling,42,3,0.11835716599307489,0.003846583000267856,3.4829780096828156,3.0426265747919063,-0.028474172551595123,True,no_scaling,No Scaling,Disable numeric scaling to test robustness to raw feature magnitudes.,no_scaling,catboost,feature_ablation
feature_ablation_catboost_no_scaling,42,4,0.11615729100594763,0.0032399579940829426,2.7610146700230445,2.4324898719787598,-0.0061542322691610085,True,no_scaling,No Scaling,Disable numeric scaling to test robustness to raw feature magnitudes.,no_scaling,catboost,feature_ablation
feature_ablation_catboost_no_scaling,42,5,0.11346566599968355,0.003052999993087724,2.930798117332445,2.359329854297809,-0.1580412432487719,True,no_scaling,No Scaling,Disable numeric scaling to test robustness to raw feature magnitudes.,no_scaling,catboost,feature_ablation
