framework,seed,fold,fit_time_sec,predict_time_sec,rmse,mae,r2,ablation_suite,preprocessing_variant,feature_variant,feature_description,feature_variant_key,estimator_name,experiment_family
feature_ablation_lightgbm_poly2,42,1,0.02410420800151769,0.0015867909969529137,3.0807313747625042,2.559093203073667,-1.2455479220685461e-05,True,poly2,Polynomial (deg=2),Augment numeric features with 2nd-degree polynomial terms.,poly2,lightgbm,feature_ablation
feature_ablation_lightgbm_poly2,42,2,0.027531332991202362,0.002302792010596022,2.9855700672317798,2.611271351207922,-0.003949564935867178,True,poly2,Polynomial (deg=2),Augment numeric features with 2nd-degree polynomial terms.,poly2,lightgbm,feature_ablation
feature_ablation_lightgbm_poly2,42,3,0.02018662499904167,0.002587541996035725,3.4859592980175487,3.044588365672548,-0.030235590686815916,True,poly2,Polynomial (deg=2),Augment numeric features with 2nd-degree polynomial terms.,poly2,lightgbm,feature_ablation
feature_ablation_lightgbm_poly2,42,4,0.020144708003499545,0.0016454580036224797,2.7619724992278787,2.43248987197876,-0.006852447372767134,True,poly2,Polynomial (deg=2),Augment numeric features with 2nd-degree polynomial terms.,poly2,lightgbm,feature_ablation
feature_ablation_lightgbm_poly2,42,5,0.03490308301115874,0.0024771669995971024,2.909335932007845,2.3461032119798073,-0.14114271136628131,True,poly2,Polynomial (deg=2),Augment numeric features with 2nd-degree polynomial terms.,poly2,lightgbm,feature_ablation
