framework,seed,fold,fit_time_sec,predict_time_sec,rmse,mae,r2,ablation_suite,preprocessing_variant,feature_variant,feature_description,feature_variant_key,estimator_name,experiment_family
feature_ablation_lightgbm_no_scaling,42,1,0.09014674999343697,0.0015888749912846833,3.0807313747625042,2.559093203073667,-1.2455479220685461e-05,True,no_scaling,No Scaling,Disable numeric scaling to test robustness to raw feature magnitudes.,no_scaling,lightgbm,feature_ablation
feature_ablation_lightgbm_no_scaling,42,2,0.01927641600195784,0.0015850000054342672,2.9855700672317798,2.611271351207922,-0.003949564935867178,True,no_scaling,No Scaling,Disable numeric scaling to test robustness to raw feature magnitudes.,no_scaling,lightgbm,feature_ablation
feature_ablation_lightgbm_no_scaling,42,3,0.021716207993449643,0.0023259169975062832,3.4859592980175487,3.044588365672548,-0.030235590686815916,True,no_scaling,No Scaling,Disable numeric scaling to test robustness to raw feature magnitudes.,no_scaling,lightgbm,feature_ablation
feature_ablation_lightgbm_no_scaling,42,4,0.023717791002127342,0.002449292005621828,2.7619724992278787,2.43248987197876,-0.006852447372767134,True,no_scaling,No Scaling,Disable numeric scaling to test robustness to raw feature magnitudes.,no_scaling,lightgbm,feature_ablation
feature_ablation_lightgbm_no_scaling,42,5,0.04517270800715778,0.002410540997516364,2.909335932007845,2.3461032119798073,-0.14114271136628131,True,no_scaling,No Scaling,Disable numeric scaling to test robustness to raw feature magnitudes.,no_scaling,lightgbm,feature_ablation
