framework,seed,fold,fit_time_sec,predict_time_sec,rmse,mae,r2,ablation_suite,preprocessing_variant,feature_variant,feature_description,feature_variant_key,estimator_name,experiment_family
feature_ablation_catboost_vif_filter,42,1,1.5888931660010712,0.00329220799903851,3.0812198192324045,2.562567416766154,-0.0003295810028507429,True,vif_filter,VIF Filter,Apply variance inflation factor filtering (threshold=8).,vif_filter,catboost,feature_ablation
feature_ablation_catboost_vif_filter,42,2,0.704138499990222,0.004265999989002012,2.9831378554508814,2.6088318987659207,-0.00231448467729245,True,vif_filter,VIF Filter,Apply variance inflation factor filtering (threshold=8).,vif_filter,catboost,feature_ablation
feature_ablation_catboost_vif_filter,42,3,0.8009819580038311,0.004262375005055219,3.4829780096828156,3.0426265747919063,-0.028474172551595123,True,vif_filter,VIF Filter,Apply variance inflation factor filtering (threshold=8).,vif_filter,catboost,feature_ablation
feature_ablation_catboost_vif_filter,42,4,1.46582483300881,0.004163374993368052,2.7610146700230445,2.4324898719787598,-0.0061542322691610085,True,vif_filter,VIF Filter,Apply variance inflation factor filtering (threshold=8).,vif_filter,catboost,feature_ablation
feature_ablation_catboost_vif_filter,42,5,0.8253765419940464,0.004308292001951486,2.930798117332445,2.359329854297809,-0.1580412432487719,True,vif_filter,VIF Filter,Apply variance inflation factor filtering (threshold=8).,vif_filter,catboost,feature_ablation
