framework,estimator,variant_key,variant_name,variant_description,metric,mean,std,n,delta_vs_baseline
feature_ablation_catboost_baseline,catboost,baseline,Baseline,"Median/most-frequent imputation, scaling enabled, no extra transforms.",fit_time_sec,0.1295344584010308,0.02549699235616178,5,0.0
feature_ablation_catboost_no_scaling,catboost,no_scaling,No Scaling,Disable numeric scaling to test robustness to raw feature magnitudes.,fit_time_sec,0.11591640799888406,0.001762315511921667,5,
feature_ablation_catboost_poly2,catboost,poly2,Polynomial (deg=2),Augment numeric features with 2nd-degree polynomial terms.,fit_time_sec,0.11695217480009885,0.002070957696685833,5,
feature_ablation_catboost_quantile_bins,catboost,quantile_bins,Quantile Binning,Discretize numeric features into quantile bins and one-hot encode.,fit_time_sec,0.11712109160143877,0.0021889316350349923,5,
feature_ablation_catboost_vif_filter,catboost,vif_filter,VIF Filter,Apply variance inflation factor filtering (threshold=8).,fit_time_sec,1.077042999799596,0.4158561581947025,5,
feature_ablation_lightgbm_baseline,lightgbm,baseline,Baseline,"Median/most-frequent imputation, scaling enabled, no extra transforms.",fit_time_sec,0.03265372480091171,0.0056162688682955516,5,0.0
feature_ablation_lightgbm_no_scaling,lightgbm,no_scaling,No Scaling,Disable numeric scaling to test robustness to raw feature magnitudes.,fit_time_sec,0.040005974599625856,0.029876109093494283,5,
feature_ablation_lightgbm_poly2,lightgbm,poly2,Polynomial (deg=2),Augment numeric features with 2nd-degree polynomial terms.,fit_time_sec,0.025373991401283942,0.0061506957852903886,5,
feature_ablation_lightgbm_quantile_bins,lightgbm,quantile_bins,Quantile Binning,Discretize numeric features into quantile bins and one-hot encode.,fit_time_sec,0.02713435839978044,0.0027475128541620372,5,
feature_ablation_lightgbm_vif_filter,lightgbm,vif_filter,VIF Filter,Apply variance inflation factor filtering (threshold=8).,fit_time_sec,1.300975750395446,0.5181642191172846,5,
feature_ablation_xgboost_baseline,xgboost,baseline,Baseline,"Median/most-frequent imputation, scaling enabled, no extra transforms.",fit_time_sec,0.08540379199548619,0.09223000149530781,5,0.0
feature_ablation_xgboost_no_scaling,xgboost,no_scaling,No Scaling,Disable numeric scaling to test robustness to raw feature magnitudes.,fit_time_sec,0.08411941679951268,0.06515380779506036,5,
feature_ablation_xgboost_poly2,xgboost,poly2,Polynomial (deg=2),Augment numeric features with 2nd-degree polynomial terms.,fit_time_sec,0.049717724998481524,0.002091300674203422,5,
