mae,r2,rmse,framework,f1_macro,accuracy,roc_auc_ovr,avg_precision_ovr
2.5994911,-0.0371230509537885,3.0451455,XGBoost,,,,
2.5987092007825408,-0.0364385539681904,3.044713834249511,LightGBM,,,,
2.5590932030736733,-1.2462523575562656e-05,3.080731374762504,CatBoost,,,,
,,,H2O_AutoML,0.0,0.0,0.9375,0.3333333333333333
