framework,estimator,variant_key,variant_name,variant_description,metric,mean,std,n,delta_vs_baseline
feature_ablation_xgboost_baseline,xgboost,baseline,Baseline,"Median/most-frequent imputation, scaling enabled, no extra transforms.",accuracy,0.9630957925787922,0.016865642325093876,5,0.0
feature_ablation_xgboost_poly2,xgboost,poly2,Polynomial (deg=2),Augment numeric features with 2nd-degree polynomial terms.,accuracy,0.9683744760130415,0.004741521118498445,5,
feature_ablation_xgboost_baseline,xgboost,baseline,Baseline,"Median/most-frequent imputation, scaling enabled, no extra transforms.",fit_time_sec,0.10530751719488755,0.08549178425971711,5,0.0
feature_ablation_xgboost_poly2,xgboost,poly2,Polynomial (deg=2),Augment numeric features with 2nd-degree polynomial terms.,fit_time_sec,0.3865451751975343,0.012171494727070239,5,
feature_ablation_xgboost_baseline,xgboost,baseline,Baseline,"Median/most-frequent imputation, scaling enabled, no extra transforms.",predict_time_sec,0.00307936680037524,0.00026674276221700337,5,0.0
feature_ablation_xgboost_poly2,xgboost,poly2,Polynomial (deg=2),Augment numeric features with 2nd-degree polynomial terms.,predict_time_sec,0.025820508194738016,0.00032455174956918956,5,
