feature,importance
worst_area worst_smoothness,0.1471399
mean_concave_points worst_texture,0.093775354
worst_area worst_concave_points,0.08717386
worst_area worst_concavity,0.085398495
mean_texture worst_area,0.044691443
mean_radius worst_smoothness,0.034198064
worst_area worst_symmetry,0.03069817
worst_area,0.02705826
worst_texture worst_area,0.016324596
radius_error worst_concavity,0.01628446
worst_perimeter worst_symmetry,0.015878875
worst_perimeter worst_concave_points,0.015736151
radius_error worst_compactness,0.013759196
area_error worst_compactness,0.011267362
mean_concavity area_error,0.011130348
worst_concave_points,0.0107067935
symmetry_error worst_area,0.009876338
worst_texture worst_concave_points,0.00893122
area_error worst_texture,0.007895318
mean_texture worst_concave_points,0.0075927847
mean_area worst_texture,0.0070923716
compactness_error worst_smoothness,0.0068957065
area_error worst_concavity,0.0068258992
worst_concave_points worst_symmetry,0.0066683525
mean_concave_points area_error,0.006614056
mean_radius mean_symmetry,0.006501551
worst_radius worst_texture,0.006316394
worst_radius worst_smoothness,0.0062732277
mean_concavity worst_concave_points,0.005954372
mean_fractal_dimension worst_radius,0.0058475686
worst_radius worst_symmetry,0.005555783
mean_smoothness worst_radius,0.005444624
worst_concavity worst_symmetry,0.005119728
mean_concave_points worst_radius,0.004944962
mean_texture mean_concave_points,0.004827673
worst_radius worst_concave_points,0.004807564
mean_concave_points smoothness_error,0.00474811
worst_concavity,0.00453867
mean_texture area_error,0.004479838
worst_perimeter worst_smoothness,0.0044366024
mean_texture worst_concavity,0.0041787843
radius_error worst_symmetry,0.0041565415
perimeter_error worst_symmetry,0.0040767686
texture_error worst_area,0.004056892
mean_texture symmetry_error,0.0039656023
smoothness_error symmetry_error,0.0038516643
worst_texture worst_perimeter,0.0038176922
mean_symmetry,0.0037094047
mean_area worst_concavity,0.003675506
area_error worst_symmetry,0.0036187654
mean_texture,0.0035341391
symmetry_error fractal_dimension_error,0.003526212
radius_error worst_texture,0.0034287095
worst_compactness worst_fractal_dimension,0.0033975067
mean_texture worst_radius,0.0033908912
mean_smoothness smoothness_error,0.0033624193
mean_fractal_dimension worst_area,0.003323895
mean_compactness radius_error,0.0031738682
worst_texture,0.003122565
mean_concave_points perimeter_error,0.002967895
mean_texture worst_fractal_dimension,0.0028852609
smoothness_error,0.0027379224
mean_texture mean_fractal_dimension,0.002720466
mean_smoothness worst_area,0.0026585215
compactness_error concave_points_error,0.0026054045
worst_symmetry worst_fractal_dimension,0.0026007069
mean_texture radius_error,0.0025790602
symmetry_error worst_texture,0.0025227622
mean_area mean_symmetry,0.0024292504
texture_error smoothness_error,0.0023821737
mean_perimeter worst_symmetry,0.0023322734
mean_concave_points radius_error,0.0021838048
mean_texture mean_area,0.0021307436
compactness_error,0.0021008248
mean_radius mean_compactness,0.0020513867
mean_texture worst_perimeter,0.0020499292
texture_error perimeter_error,0.0020324457
mean_radius worst_texture,0.0020074595
mean_symmetry worst_texture,0.0020059699
mean_radius area_error,0.0020011708
mean_concavity radius_error,0.0019862645
worst_smoothness worst_concavity,0.001969434
perimeter_error fractal_dimension_error,0.0019521974
worst_area worst_compactness,0.0018815696
mean_texture compactness_error,0.001864842
mean_radius compactness_error,0.0018491226
mean_compactness texture_error,0.0017989643
mean_area mean_smoothness,0.0017949231
mean_compactness,0.0017890891
compactness_error^2,0.0016145029
mean_area smoothness_error,0.0015033538
mean_texture worst_smoothness,0.0014938983
mean_texture worst_texture,0.0014662988
mean_smoothness worst_texture,0.0014216009
radius_error worst_smoothness,0.0014130938
worst_texture worst_concavity,0.0014084782
worst_texture worst_smoothness,0.0013523608
mean_radius,0.0013149262
mean_smoothness,0.001284661
mean_smoothness concave_points_error,0.0012831697
mean_fractal_dimension,0.0012637806
mean_texture^2,0.0012156038
worst_texture^2,0.0011832217
mean_perimeter symmetry_error,0.0011564833
radius_error concave_points_error,0.0011525868
worst_texture worst_symmetry,0.0010918179
mean_texture fractal_dimension_error,0.0010572083
radius_error symmetry_error,0.0010271885
texture_error worst_smoothness,0.0009913074
mean_fractal_dimension worst_fractal_dimension,0.0009818295
mean_concavity worst_concavity,0.00095146097
compactness_error symmetry_error,0.00095034146
symmetry_error,0.0009498053
mean_radius mean_smoothness,0.0008904413
mean_compactness mean_fractal_dimension,0.00085635757
worst_compactness,0.00083886035
texture_error fractal_dimension_error,0.0007680764
worst_texture worst_fractal_dimension,0.0007674993
worst_smoothness,0.0007674718
mean_smoothness compactness_error,0.00072882127
mean_smoothness fractal_dimension_error,0.00072430377
perimeter_error symmetry_error,0.0007162208
mean_perimeter worst_concavity,0.00070219004
fractal_dimension_error worst_concave_points,0.00067885994
mean_symmetry concave_points_error,0.0006712106
worst_smoothness^2,0.0006622815
mean_symmetry area_error,0.0006471998
area_error worst_concave_points,0.00064440054
radius_error texture_error,0.00064313196
radius_error worst_concave_points,0.0006162926
area_error worst_area,0.0006143352
mean_symmetry compactness_error,0.00059362006
mean_concave_points concave_points_error,0.00058718584
texture_error symmetry_error,0.0005820903
mean_perimeter worst_texture,0.0005757015
fractal_dimension_error worst_symmetry,0.0005644138
compactness_error worst_texture,0.00055252074
smoothness_error worst_area,0.0005234056
texture_error compactness_error,0.00051177613
perimeter_error concavity_error,0.0004693673
mean_compactness symmetry_error,0.00046540078
concave_points_error worst_smoothness,0.00045855058
mean_smoothness worst_smoothness,0.0004479722
mean_concave_points worst_area,0.00044274583
mean_fractal_dimension worst_smoothness,0.00043852744
texture_error worst_compactness,0.00039234315
mean_radius symmetry_error,0.00037235254
smoothness_error concave_points_error,0.00033884944
mean_symmetry symmetry_error,0.0003350517
smoothness_error worst_perimeter,0.00032377022
smoothness_error worst_concavity,0.00031007823
mean_smoothness mean_symmetry,0.00027061978
mean_texture mean_smoothness,0.00025925765
mean_concave_points worst_smoothness,0.00024178486
area_error worst_smoothness,0.00022839496
mean_texture mean_symmetry,0.00021992058
mean_symmetry mean_fractal_dimension,0.00020739852
mean_radius mean_fractal_dimension,0.00019838112
symmetry_error^2,0.00019679833
mean_perimeter mean_smoothness,0.00019541461
mean_texture mean_compactness,0.00019055215
fractal_dimension_error worst_texture,0.0001528456
mean_area worst_concave_points,0.00012886377
