fold,framework,accuracy,f1_macro,roc_auc_ovr,avg_precision_ovr
1,XGBoost,1.0,1.0,1.0,1.0
2,XGBoost,0.9963636363636363,0.9963137223361618,0.9999999999999999,1.0
3,XGBoost,0.9963503649635036,0.9963090186569676,1.0,1.0
4,XGBoost,0.9890510948905109,0.988943736801754,1.0,1.0
5,XGBoost,0.9963503649635036,0.9963090186569676,1.0,1.0
