fold,framework,accuracy,f1_macro,roc_auc_ovr,avg_precision_ovr
1,LightGBM,0.9238386081806403,0.9169007449324158,0.9824478926101029,0.9702714419693352
2,LightGBM,0.9228206551915602,0.9159478185427226,0.9822967393945423,0.9699145954398392
3,LightGBM,0.9245789376272441,0.9177882517941344,0.9830182388956176,0.9713279512063423
4,LightGBM,0.9206305139120242,0.9134071472875178,0.9816807147460288,0.9687947260100122
5,LightGBM,0.92772533777531,0.9210738293897756,0.9836869609829741,0.9724468670237152
