feature,importance
date_2023-06-29,0.021212712
date_2023-05-24,0.02027801
date_2023-02-01,0.019923301
date_2023-06-27,0.019745825
date_2023-01-01,0.019291885
date_2023-02-04,0.018453859
date_2023-01-19,0.01838797
date_2023-01-26,0.017426228
date_2023-01-29,0.017069213
date_2023-05-27,0.016308896
date_2023-05-20,0.016243989
date_2023-05-19,0.015976874
date_2023-01-24,0.015907157
date_2023-05-25,0.015868196
date_2023-05-23,0.015856948
date_2023-05-21,0.015842361
date_2023-01-31,0.015507182
date_2023-05-26,0.01527752
date_2023-05-18,0.015215336
date_2023-06-01,0.014913421
date_2023-01-05,0.014751858
date_2023-06-26,0.014590886
date_2023-05-17,0.014078517
date_2023-06-04,0.013154501
date_2023-01-02,0.013126639
date_2023-06-23,0.012729365
date_2023-06-02,0.012422679
date_2023-04-09,0.01226335
date_2023-05-15,0.01186411
date_2023-01-12,0.011852904
date_2023-06-25,0.0118107805
date_2023-01-25,0.011801039
date_2023-01-04,0.011628115
date_2023-01-28,0.011447509
date_2023-02-08,0.011414708
date_2023-05-28,0.011390326
date_2023-02-09,0.011378532
date_2023-06-22,0.011375259
date_2023-01-27,0.0108778905
date_2023-01-11,0.010828905
date_2023-03-14,0.010619462
date_2023-05-16,0.010435467
date_2023-03-15,0.010378586
date_2023-04-06,0.009988255
date_2023-01-03,0.009551423
date_2023-04-12,0.009538247
date_2023-06-03,0.009302222
date_2023-06-14,0.009107272
date_2023-03-23,0.008960725
date_2023-04-02,0.008859171
date_2023-06-17,0.008660241
date_2023-02-12,0.008622418
date_2023-02-05,0.008503594
date_2023-03-16,0.008197416
date_2023-05-29,0.008025209
date_2023-01-21,0.007967243
date_2023-05-13,0.0077116285
date_2023-02-07,0.007473191
date_2023-06-06,0.0073361252
date_2023-01-22,0.007322015
date_2023-04-11,0.0071157455
date_2023-03-17,0.006923245
date_2023-04-15,0.00673674
date_2023-02-15,0.006564102
date_2023-02-16,0.006549914
date_2023-01-10,0.006405324
date_2023-01-13,0.006392338
date_2023-05-12,0.006277916
date_2023-04-08,0.0062727234
date_2023-06-21,0.0062662484
date_2023-03-25,0.006235052
date_2023-01-23,0.006076352
date_2023-06-18,0.0059716464
date_2023-02-11,0.0059598284
date_2023-04-19,0.0058322744
date_2023-04-16,0.0056836302
date_2023-02-10,0.0055389088
date_2023-01-17,0.0054625096
date_2023-02-25,0.005408233
date_2023-03-21,0.0052578277
date_2023-06-09,0.005162241
date_2023-03-20,0.0050212117
date_2023-06-19,0.005008568
date_2023-03-08,0.0047971844
date_2023-03-26,0.0047750967
date_2023-05-07,0.0046464554
date_2023-05-04,0.0046429886
date_2023-04-17,0.0045239534
date_2023-03-24,0.0044120094
date_2023-04-13,0.0044112573
date_2023-01-16,0.0044072457
date_2023-06-16,0.0043921075
date_2023-02-13,0.004304379
date_2023-01-06,0.0042718886
date_2023-04-21,0.0042702113
date_2023-06-07,0.004239384
date_2023-03-22,0.0041730194
date_2023-05-03,0.004166959
date_2023-05-09,0.0041247318
date_2023-03-11,0.003969347
date_2023-02-23,0.0038481392
date_2023-06-10,0.0036797926
date_2023-03-13,0.0035241093
date_2023-01-09,0.0035003638
date_2023-04-26,0.0034100867
date_2023-05-05,0.003332088
date_2023-06-11,0.0
date_2023-04-01,0.0
date_2023-05-10,0.0
date_2023-05-08,0.0
date_2023-03-07,0.0
date_2023-03-05,0.0
date_2023-03-04,0.0
date_2023-03-03,0.0
date_2023-03-02,0.0
date_2023-03-01,0.0
date_2023-02-27,0.0
date_2023-02-26,0.0
date_2023-02-24,0.0
date_2023-02-22,0.0
date_2023-02-21,0.0
date_2023-02-18,0.0
date_2023-02-17,0.0
date_2023-01-20,0.0
date_2023-01-14,0.0
date_2023-03-09,0.0
date_2023-03-10,0.0
date_2023-03-12,0.0
date_2023-04-27,0.0
date_2023-05-06,0.0
date_2023-05-02,0.0
date_2023-05-01,0.0
date_2023-04-30,0.0
date_2023-04-29,0.0
date_2023-04-28,0.0
date_2023-04-25,0.0
date_2023-03-19,0.0
date_2023-04-24,0.0
date_2023-04-20,0.0
date_2023-04-18,0.0
date_2023-04-05,0.0
date_2023-03-31,0.0
date_2023-03-28,0.0
date_2023-03-29,0.0
