feature,importance
date_2023-06-29,0.02146473
date_2023-05-24,0.020015074
date_2023-06-27,0.019645654
date_2023-01-19,0.019117868
date_2023-02-01,0.01911708
date_2023-02-04,0.018810987
date_2023-01-30,0.017644042
date_2023-01-26,0.017404394
date_2023-01-29,0.017248353
date_2023-02-02,0.016794305
date_2023-01-24,0.015879802
date_2023-05-19,0.015824739
date_2023-01-31,0.015590973
date_2023-05-21,0.015238684
date_2023-05-25,0.014984068
date_2023-05-20,0.014899961
date_2023-02-06,0.014760882
date_2023-05-17,0.014055888
date_2023-05-30,0.01397906
date_2023-06-24,0.0138295
date_2023-06-26,0.0136669325
date_2023-06-04,0.013630212
date_2023-01-02,0.01346906
date_2023-01-12,0.012721542
date_2023-04-10,0.012134043
date_2023-01-25,0.012127625
date_2023-06-02,0.012111193
date_2023-06-28,0.012080876
date_2023-06-23,0.012038957
date_2023-01-28,0.011811738
date_2023-01-04,0.011798976
date_2023-06-25,0.011622383
date_2023-01-27,0.011504125
date_2023-05-15,0.011437661
date_2023-01-08,0.011398208
date_2023-06-22,0.011218443
date_2023-01-11,0.011139322
date_2023-03-15,0.011135376
date_2023-05-22,0.010979221
date_2023-02-03,0.010801152
date_2023-01-03,0.009446148
date_2023-05-16,0.0093611255
date_2023-02-05,0.009268911
date_2023-06-08,0.009251911
date_2023-04-06,0.009068199
date_2023-03-23,0.009016134
date_2023-06-15,0.008885129
date_2023-03-16,0.008788318
date_2023-04-12,0.008642049
date_2023-01-21,0.008502243
date_2023-04-14,0.008484672
date_2023-06-03,0.008446732
date_2023-06-14,0.008442892
date_2023-04-02,0.008128181
date_2023-02-07,0.008058727
date_2023-06-17,0.008008366
date_2023-01-22,0.007877788
date_2023-03-18,0.0075289337
date_2023-02-16,0.007473137
date_2023-06-20,0.007393312
date_2023-05-29,0.007237823
date_2023-02-15,0.0072342106
date_2023-01-23,0.00696931
date_2023-05-13,0.006829355
date_2023-03-25,0.006717179
date_2023-02-11,0.0066877767
date_2023-06-06,0.0066590044
date_2023-02-14,0.0066568595
date_2023-02-10,0.0064774253
date_2023-06-12,0.006446995
date_2023-04-11,0.006333234
date_2023-05-31,0.0061171274
date_2023-01-17,0.005902768
date_2023-03-20,0.0056423345
date_2023-03-26,0.0056180754
date_2023-03-08,0.005595138
date_2023-05-12,0.0055346494
date_2023-04-08,0.005364984
date_2023-05-04,0.0053081904
date_2023-06-21,0.0052567176
date_2023-02-13,0.0051584877
date_2023-05-14,0.005112957
date_2023-06-05,0.004970426
date_2023-01-18,0.0049292743
date_2023-04-16,0.0048394767
date_2023-04-19,0.004752186
date_2023-03-11,0.00472271
date_2023-01-16,0.0046656476
date_2023-05-11,0.0045525166
date_2023-01-06,0.004548722
date_2023-03-13,0.0044851364
date_2023-06-09,0.0043805637
date_2023-05-05,0.004374629
date_2023-04-04,0.0043629063
date_2023-01-09,0.00431961
date_2023-02-25,0.0043078386
date_2023-04-22,0.0042327405
date_2023-06-19,0.004205462
date_2023-01-15,0.004152112
date_2023-02-20,0.003967785
date_2023-04-21,0.0038874578
date_2023-04-07,0.0037895509
date_2023-05-07,0.0037377921
date_2023-01-07,0.0036556781
date_2023-04-29,0.0035868823
date_2023-03-30,0.0035835204
date_2023-05-09,0.0035342805
date_2023-03-12,0.0034859288
date_2023-02-22,0.003365581
date_2023-03-02,0.0032713
date_2023-03-19,0.0032656712
date_2023-04-03,0.0
date_2023-06-13,0.0
date_2023-02-28,0.0
date_2023-03-31,0.0
date_2023-06-16,0.0
date_2023-03-01,0.0
date_2023-03-29,0.0
date_2023-03-27,0.0
date_2023-06-10,0.0
date_2023-01-20,0.0
date_2023-03-05,0.0
date_2023-03-09,0.0
date_2023-06-11,0.0
date_2023-02-26,0.0
date_2023-04-05,0.0
date_2023-02-18,0.0
date_2023-05-06,0.0
date_2023-02-21,0.0
date_2023-05-02,0.0
date_2023-05-01,0.0
date_2023-04-30,0.0
date_2023-01-14,0.0
date_2023-02-19,0.0
date_2023-02-17,0.0
date_2023-05-08,0.0
date_2023-04-28,0.0
date_2023-04-27,0.0
date_2023-04-23,0.0
date_2023-04-20,0.0
date_2023-04-18,0.0
date_2023-02-23,0.0
date_2023-02-24,0.0
date_2023-03-06,0.0
