feature,importance
date_2023-05-24,0.020171843
date_2023-06-27,0.019325139
date_2023-02-01,0.018807758
date_2023-01-01,0.018327694
date_2023-01-19,0.018124565
date_2023-02-04,0.017658845
date_2023-01-30,0.017445676
date_2023-01-29,0.016194686
date_2023-01-26,0.016003432
date_2023-05-20,0.0154359555
date_2023-02-02,0.0154151255
date_2023-05-23,0.015351153
date_2023-01-24,0.015310521
date_2023-05-27,0.015304865
date_2023-06-01,0.015043435
date_2023-05-26,0.014910673
date_2023-05-18,0.014479139
date_2023-01-31,0.014333058
date_2023-05-30,0.014116962
date_2023-05-17,0.013877232
date_2023-01-05,0.013786961
date_2023-02-06,0.013649135
date_2023-06-24,0.013567407
date_2023-06-04,0.013206513
date_2023-01-02,0.012467921
date_2023-06-02,0.012461407
date_2023-04-10,0.012423564
date_2023-06-23,0.012258633
date_2023-06-28,0.012213401
date_2023-04-09,0.0120520815
date_2023-01-12,0.011837049
date_2023-06-25,0.011574973
date_2023-05-15,0.011313503
date_2023-05-22,0.01128672
date_2023-01-25,0.011274345
date_2023-06-22,0.011230896
date_2023-02-08,0.011150312
date_2023-01-04,0.011143104
date_2023-01-28,0.011014886
date_2023-02-09,0.010858098
date_2023-05-28,0.010627316
date_2023-01-11,0.010532162
date_2023-01-08,0.010365906
date_2023-02-03,0.010310155
date_2023-03-14,0.010290733
date_2023-03-15,0.010270557
date_2023-06-08,0.009683183
date_2023-04-06,0.009192029
date_2023-01-03,0.009174812
date_2023-03-23,0.009129809
date_2023-06-15,0.008725771
date_2023-02-05,0.008643767
date_2023-04-12,0.008582405
date_2023-06-03,0.008545239
date_2023-04-14,0.00840877
date_2023-02-12,0.008396839
date_2023-06-17,0.0083335275
date_2023-06-14,0.0082190735
date_2023-06-20,0.0077134767
date_2023-01-22,0.0075579206
date_2023-02-07,0.0072884066
date_2023-05-29,0.0072139017
date_2023-05-13,0.0070711807
date_2023-02-16,0.0070098885
date_2023-03-17,0.0068902937
date_2023-03-18,0.0067819194
date_2023-01-13,0.00662811
date_2023-02-15,0.006622615
date_2023-06-12,0.0065349396
date_2023-01-10,0.0063735116
date_2023-02-14,0.006323656
date_2023-04-15,0.0061662067
date_2023-02-10,0.0059865043
date_2023-05-31,0.005766008
date_2023-03-21,0.005684428
date_2023-04-08,0.0054442445
date_2023-06-21,0.0054234923
date_2023-03-26,0.0054015117
date_2023-03-20,0.005283472
date_2023-03-08,0.005201407
date_2023-05-11,0.005150873
date_2023-03-22,0.0051384834
date_2023-06-05,0.004983821
date_2023-05-14,0.0049360627
date_2023-06-18,0.004934806
date_2023-05-03,0.004852422
date_2023-06-09,0.0048227105
date_2023-04-16,0.0047975285
date_2023-03-24,0.004757536
date_2023-01-18,0.0047470415
date_2023-04-19,0.0046977894
date_2023-02-25,0.004477185
date_2023-03-13,0.004429687
date_2023-04-22,0.0042779385
date_2023-04-04,0.0041469126
date_2023-05-05,0.0040257755
date_2023-01-15,0.0039868373
date_2023-05-07,0.00397752
date_2023-06-07,0.0037523184
date_2023-04-17,0.0037513934
date_2023-04-29,0.0037265304
date_2023-04-07,0.0036411528
date_2023-02-20,0.0036027583
date_2023-03-12,0.0035979836
date_2023-05-09,0.0035426177
date_2023-04-13,0.003512828
date_2023-03-02,0.0034364052
date_2023-03-30,0.0033912035
date_2023-01-07,0.003372753
date_2023-02-22,0.003323278
date_2023-06-10,0.0
date_2023-06-11,0.0
date_2023-06-13,0.0
date_2023-04-18,0.0
date_2023-01-20,0.0
date_2023-05-10,0.0
date_2023-02-17,0.0
date_2023-02-19,0.0
date_2023-02-21,0.0
date_2023-02-23,0.0
date_2023-02-24,0.0
date_2023-02-26,0.0
date_2023-02-27,0.0
date_2023-02-28,0.0
date_2023-03-01,0.0
date_2023-03-03,0.0
date_2023-03-04,0.0
date_2023-03-05,0.0
date_2023-03-06,0.0
date_2023-03-07,0.0
date_2023-03-10,0.0
date_2023-03-27,0.0
date_2023-03-28,0.0
date_2023-04-03,0.0
date_2023-04-20,0.0
date_2023-04-23,0.0
date_2023-04-24,0.0
date_2023-04-25,0.0
date_2023-04-26,0.0
date_2023-04-27,0.0
date_2023-04-28,0.0
date_2023-05-02,0.0
date_2023-05-08,0.0
date_2023-04-01,0.0
